event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_2,22542,Marta,62389,Angelina,194,8.36,11.64,10.74,7.41,3.45,4.51,104.9,30.88,106.86,6,0,18.71,4.63,4411.0,True,False,False,49.72800000000001,2334,Team 1
7_6,62389,Angelina,62445,B. Banda,207,21.37,7.44,10.88,13.02,1.83,8.44,-13.64,35.19,165.43,0,5,3.39,3.59,,True,True,False,37.452,2334,Team 1
7_10,149954,K. Strom,62445,B. Banda,572,7.94,21.34,-30.15,30.28,34.18,36.38,-16.41,149.61,-14.04,3,7,3.04,3.61,,False,False,True,50.058,2334,Team 1
7_14,62445,B. Banda,151602,A. Watt,612,5.42,-10.44,5.34,20.14,25.63,27.64,-82.6,-16.75,-129.67,1,3,6.27,10.23,,False,False,True,42.68,2334,Team 1
7_22,149882,K. Abello,149954,K. Strom,1174,-53.25,13.85,-42.38,31.32,16.88,17.89,-138.83,-176.41,-153.74,10,-1,50.87,6.96,4141.0,False,False,False,96.50500000000001,2334,Team 1
7_28,149954,K. Strom,62389,Angelina,1213,-25.94,22.43,-54.27,14.37,20.95,29.03,14.71,-0.47,5.84,5,5,27.15,11.96,4141.0,True,False,False,41.07,2334,Team 1
7_29,62389,Angelina,610122,S. Yates,1226,-27.04,33.29,-25.17,23.76,9.8,9.71,101.1,58.54,112.62,7,-2,29.69,11.94,4141.0,False,False,False,55.623,2334,Team 1
7_37,816413,H. Anderson,151186,T. Malham,1304,-20.69,-0.61,-17.58,-3.98,4.84,4.93,-177.21,124.41,-151.74,10,-1,41.57,12.22,433.0,False,False,False,85.629,2337,Team 2
7_38,151186,T. Malham,57146,C. Roccaro,1334,-25.73,-6.75,-25.52,7.52,15.01,12.84,-99.32,162.83,-99.36,10,0,38.7,12.88,4123.0,False,False,False,79.42800000000001,2337,Team 2
7_41,57146,C. Roccaro,57112,N. Kuikka,1365,-21.08,-25.65,-31.34,-9.95,14.54,17.77,-60.58,-92.41,-56.1,8,2,28.26,10.3,433.0,False,False,False,58.341,2337,Team 2
7_47,22542,Marta,610122,S. Yates,1634,6.94,11.61,-2.44,-29.09,37.44,40.43,69.39,7.36,73.03,2,6,6.96,9.66,442.0,False,False,True,45.257999999999996,2334,Team 1
7_53,151151,H. McCutcheon,817541,C. Dyke,1726,7.47,-15.98,20.37,2.38,20.09,20.24,-118.86,-17.68,-113.81,10,-1,29.71,9.31,541.0,False,False,False,64.555,2334,Team 1
7_55,817541,C. Dyke,22542,Marta,1749,26.96,-25.16,8.6,-17.05,11.77,16.5,-33.56,-49.68,-16.03,4,5,8.05,7.36,424.0,False,False,False,33.511,2334,Team 1
7_64,57146,C. Roccaro,22810,M. Swanson,2438,-0.72,-18.63,-36.2,-23.77,21.19,22.24,-3.92,-91.28,-6.67,4,6,3.67,2.72,424.0,True,False,False,38.835,2337,Team 2
7_71,22542,Marta,610122,S. Yates,2510,15.2,25.21,12.26,30.18,5.45,5.77,-59.39,43.05,-58.73,3,1,11.17,4.53,,True,False,False,33.931000000000004,2334,Team 1
7_74,610122,S. Yates,62389,Angelina,2521,10.81,16.13,18.72,25.72,4.77,5.76,-117.86,-39.62,139.76,7,-1,18.01,5.48,,True,True,False,58.56400000000001,2334,Team 1
7_78,22810,M. Swanson,151149,S. Groom,2862,-3.94,8.83,0.11,-24.63,32.66,33.7,96.9,-19.13,104.27,4,0,14.7,14.56,424.0,False,False,True,48.766000000000005,2337,Team 2
7_86,62389,Angelina,149954,K. Strom,2922,-27.49,10.08,-17.38,4.76,10.55,11.2,148.99,174.56,139.65,10,-1,37.4,11.19,4231.0,False,False,False,86.44700000000002,2334,Team 1
7_91,149954,K. Strom,441597,E. Madril Sams,2958,-35.27,-0.46,-27.24,12.03,14.17,14.99,-121.13,-56.86,-113.72,10,0,39.74,13.1,4231.0,False,False,False,72.672,2334,Team 1
7_92,441597,E. Madril Sams,817541,C. Dyke,2976,-29.77,-16.25,-32.39,-3.11,6.64,12.71,-82.13,-55.75,-123.95,8,2,33.39,17.83,424.0,False,False,False,62.303999999999995,2334,Team 1
7_95,57146,C. Roccaro,22809,A. Naeher,3063,-46.86,3.11,-27.42,7.64,13.88,17.66,-168.44,-143.34,174.96,10,-1,61.17,21.18,4231.0,False,False,False,99.687,2337,Team 2
7_102,62389,Angelina,817541,C. Dyke,3125,-0.7,-21.2,7.15,-12.27,10.15,11.66,-141.13,-170.96,-135.4,10,-4,26.85,6.9,424.0,False,False,False,75.83900000000001,2334,Team 1
7_104,817541,C. Dyke,441597,E. Madril Sams,3150,-6.0,-13.77,-5.22,-21.37,7.16,6.91,96.48,-163.55,93.2,10,0,28.29,9.09,424.0,False,False,False,71.798,2334,Team 1
7_105,441597,E. Madril Sams,149954,K. Strom,3169,-11.34,1.58,-7.86,-14.03,13.38,16.88,110.64,130.85,107.62,10,0,31.07,10.53,424.0,False,False,False,74.35400000000001,2334,Team 1
7_106,149954,K. Strom,22542,Marta,3204,-0.07,8.13,-13.89,7.65,12.28,12.65,5.67,103.92,-7.25,8,2,16.77,8.23,424.0,True,False,False,45.107,2334,Team 1
7_112,22723,J. Grosso,816413,H. Anderson,3409,-37.26,13.82,-34.97,-13.02,16.9,20.65,92.61,8.67,106.32,10,0,41.08,15.39,424.0,False,False,False,65.292,2337,Team 2
7_115,816413,H. Anderson,57146,C. Roccaro,3481,-30.07,-14.76,-29.28,16.66,25.29,27.51,-90.44,72.36,-93.4,10,0,36.12,16.49,424.0,False,False,False,69.969,2337,Team 2
7_117,57146,C. Roccaro,57112,N. Kuikka,3512,-13.54,-26.9,-28.86,-13.26,14.27,16.05,-65.91,-70.32,-58.06,9,1,20.85,10.52,424.0,False,False,False,53.531000000000006,2337,Team 2
7_121,57112,N. Kuikka,57146,C. Roccaro,3560,-19.03,-20.55,-10.46,-32.25,10.66,13.37,143.3,-161.3,122.78,10,-1,31.22,8.57,451.0,False,False,False,80.33200000000001,2337,Team 2
7_123,57146,C. Roccaro,22809,A. Naeher,3592,-40.73,-3.17,-28.53,-19.73,14.35,17.62,129.82,148.92,111.04,10,0,50.01,27.19,424.0,False,False,False,84.85,2337,Team 2
7_126,22809,A. Naeher,816413,H. Anderson,3632,-32.19,8.82,-42.86,-3.75,13.45,14.17,54.25,-129.42,49.4,10,0,36.38,13.82,451.0,False,False,False,64.768,2337,Team 2
7_135,610122,S. Yates,149954,K. Strom,3861,-22.31,22.45,-13.27,17.09,10.63,10.51,149.34,,165.4,10,-1,33.22,12.51,424.0,False,False,False,,2334,Team 1
7_138,149954,K. Strom,441597,E. Madril Sams,3873,-24.8,4.59,-21.16,23.33,12.6,14.28,-104.07,76.09,-105.04,10,0,35.44,12.61,424.0,False,False,False,69.49799999999999,2334,Team 1
7_139,441597,E. Madril Sams,817541,C. Dyke,3897,-22.65,-17.34,-23.03,6.48,12.35,17.73,-94.88,-23.52,-92.74,10,0,33.2,16.55,424.0,False,False,False,60.109,2334,Team 1
7_143,816413,H. Anderson,22809,A. Naeher,4002,-49.42,8.72,-30.91,25.6,16.83,19.8,-130.74,125.35,-112.13,10,0,60.47,25.82,442.0,False,False,False,88.942,2337,Team 2
7_145,22809,A. Naeher,817547,B. Franklin,4034,-27.99,9.5,-50.67,14.02,19.25,19.2,-9.17,157.69,-7.88,8,2,31.4,11.65,442.0,True,False,False,59.619,2337,Team 2
7_150,817547,B. Franklin,816413,H. Anderson,4055,-46.07,23.98,-33.96,11.14,11.73,12.1,139.22,-55.85,144.09,10,-2,46.25,6.67,442.0,False,False,False,78.226,2337,Team 2
7_154,816413,H. Anderson,627434,A. Schlegel,4089,-13.12,-0.91,-42.12,16.59,30.65,32.27,-30.26,-110.14,-28.15,4,6,12.11,11.93,442.0,True,False,False,50.718999999999994,2337,Team 2
7_158,627434,A. Schlegel,817610,J. Joseph,4115,-0.64,7.49,-11.34,-2.5,12.05,14.64,43.03,-70.79,73.91,4,0,2.97,1.13,4132.0,True,False,True,38.147,2337,Team 2
7_162,817610,J. Joseph,151149,S. Groom,4141,-1.33,27.11,-2.93,1.8,12.21,19.68,70.13,-0.37,64.9,4,1,7.96,11.6,,False,False,False,30.363000000000003,2337,Team 2
7_163,151149,S. Groom,22723,J. Grosso,4172,-1.4,17.42,5.88,27.14,5.78,2.81,98.79,38.52,105.86,4,1,15.34,4.52,,False,False,False,44.31700000000001,2337,Team 2
7_166,22723,J. Grosso,817610,J. Joseph,4200,9.39,23.48,13.14,25.71,9.09,10.37,38.46,2.99,51.03,1,5,13.12,3.57,,False,True,False,32.321,2337,Team 2
7_171,62445,B. Banda,151602,A. Watt,4349,-30.24,-27.67,-6.48,-23.79,11.59,13.71,177.58,-7.43,162.53,5,-2,29.56,8.81,,True,False,False,62.249,2334,Team 1
7_175,151602,A. Watt,441597,E. Madril Sams,4375,-32.27,-15.73,-22.47,-27.97,16.83,15.41,128.39,-17.15,131.22,7,-1,38.35,8.73,,True,False,False,66.65400000000001,2334,Team 1
7_183,22723,J. Grosso,57146,C. Roccaro,4410,-5.4,3.57,15.71,22.82,18.62,21.14,-126.89,-162.76,-136.37,10,0,35.8,19.22,,False,False,False,84.244,2337,Team 2
7_185,57146,C. Roccaro,57112,N. Kuikka,4464,1.66,-19.84,-8.85,-1.5,15.67,19.81,-68.97,-109.72,-52.99,10,0,23.87,11.23,523.0,False,False,False,59.558,2337,Team 2
7_186,57112,N. Kuikka,57146,C. Roccaro,4500,-9.77,-12.91,0.84,-28.21,17.91,18.39,134.93,-132.73,131.04,10,0,35.96,17.14,523.0,False,False,False,81.795,2337,Team 2
7_189,57146,C. Roccaro,57112,N. Kuikka,4538,-0.49,-28.24,-12.54,-14.89,14.77,14.52,-54.27,160.31,-48.7,10,0,24.85,7.81,523.0,False,False,False,63.622,2337,Team 2
7_191,57112,N. Kuikka,22810,M. Swanson,4561,14.22,-30.08,-4.2,-26.51,13.01,14.97,-20.12,-153.14,-27.41,7,3,6.47,3.7,523.0,False,False,False,46.964999999999996,2337,Team 2
7_193,22810,M. Swanson,57146,C. Roccaro,4580,-16.83,-17.97,7.46,-32.42,24.22,26.98,148.34,-157.07,147.03,10,-3,37.21,17.43,343.0,False,False,False,85.129,2337,Team 2
7_194,57146,C. Roccaro,816413,H. Anderson,4612,-14.79,9.02,-20.26,-13.02,17.86,22.19,76.47,115.75,77.09,10,0,33.81,16.35,442.0,False,False,False,67.924,2337,Team 2
7_195,816413,H. Anderson,57146,C. Roccaro,4663,-19.25,-5.79,-20.22,18.3,20.58,22.12,-89.97,-127.93,-90.81,10,0,33.95,10.72,442.0,False,False,False,73.876,2337,Team 2
7_205,151186,T. Malham,57112,N. Kuikka,5033,16.68,-25.15,15.56,-7.71,16.26,15.53,-99.34,-165.01,-96.6,9,0,22.7,10.18,541.0,False,False,False,70.287,2337,Team 2
7_207,57112,N. Kuikka,57146,C. Roccaro,5061,-2.08,-17.74,11.45,-28.71,20.33,20.18,145.88,-178.9,147.82,10,-1,34.7,12.08,442.0,False,False,False,88.793,2337,Team 2
7_211,57146,C. Roccaro,57112,N. Kuikka,5104,10.55,-28.36,-8.13,-19.54,10.99,9.78,-50.81,-159.86,-42.31,10,0,17.25,6.52,424.0,False,False,False,57.916,2337,Team 2
7_213,57112,N. Kuikka,57146,C. Roccaro,5158,-6.43,-24.05,1.91,-32.14,11.62,11.62,135.87,174.46,135.38,10,0,32.9,10.93,424.0,False,False,False,84.321,2337,Team 2
7_217,149954,K. Strom,441597,E. Madril Sams,5640,-33.0,1.48,-29.1,15.46,13.35,13.69,-108.79,74.43,-112.61,10,0,39.31,11.97,424.0,False,False,False,72.849,2334,Team 1
7_219,441597,E. Madril Sams,817541,C. Dyke,5661,-29.39,-20.7,-31.54,2.98,18.56,22.39,-84.95,30.47,-86.45,10,0,35.9,18.31,424.0,False,False,False,62.043,2334,Team 1
7_220,817541,C. Dyke,151602,A. Watt,5687,-5.72,-32.9,-26.57,-21.86,19.64,19.74,-34.14,-147.33,-25.29,6,4,13.11,13.57,424.0,False,False,False,50.409,2334,Team 1
7_221,151602,A. Watt,22542,Marta,5712,7.27,-20.94,-11.85,-34.33,21.85,22.21,26.61,-88.86,26.1,3,3,2.22,5.2,343.0,False,False,True,35.782000000000004,2334,Team 1
7_224,22542,Marta,62389,Angelina,5732,-6.96,-20.49,6.29,-26.9,12.81,12.49,142.45,6.0,140.73,5,-2,17.17,3.3,,True,False,False,51.686,2334,Team 1
7_227,62389,Angelina,62445,B. Banda,5748,13.08,-18.57,0.64,-18.43,8.8,12.44,-0.64,-52.17,-87.85,0,5,0.8,3.92,,False,False,False,25.821999999999996,2334,Team 1
7_232,151186,T. Malham,151149,S. Groom,5843,-27.09,25.98,-42.7,23.65,7.86,8.75,-54.58,161.51,-80.18,6,1,23.17,4.58,,True,False,False,60.154,2337,Team 2
7_236,151149,S. Groom,816413,H. Anderson,5888,-44.35,19.99,-31.77,26.82,10.76,12.06,-160.18,75.83,-166.79,10,-3,40.89,10.87,,False,False,False,79.279,2337,Team 2
7_242,627434,A. Schlegel,57112,N. Kuikka,6373,45.56,-35.24,48.43,-26.92,8.46,8.8,-109.03,86.05,-118.59,4,-3,4.82,5.42,,False,False,True,43.230999999999995,2337,Team 2
7_258,22810,M. Swanson,22723,J. Grosso,7552,-36.39,-4.04,-37.76,-10.73,5.38,6.83,78.43,-50.55,71.57,5,0,25.58,2.34,,True,False,False,47.991,2337,Team 2
7_263,441597,E. Madril Sams,149954,K. Strom,7650,7.37,2.28,3.41,23.11,10.19,13.52,-116.3,163.74,-103.68,10,0,25.34,9.45,4231.0,False,False,False,74.209,2334,Team 1
7_267,149954,K. Strom,441597,E. Madril Sams,7697,-3.71,15.79,-7.45,4.12,12.22,11.37,86.37,-172.97,77.57,10,0,30.4,5.93,4231.0,False,False,False,73.37099999999998,2334,Team 1
7_274,441597,E. Madril Sams,22542,Marta,7773,18.5,21.41,-0.88,15.19,17.04,17.46,18.85,-153.63,20.9,5,5,8.22,8.41,4231.0,True,False,False,48.378,2334,Team 1
7_277,22542,Marta,149882,K. Abello,7792,23.61,30.2,16.61,20.15,10.13,14.29,45.96,-10.37,77.17,1,6,5.08,9.67,4321.0,False,False,False,29.995,2334,Team 1
7_281,149882,K. Abello,62445,B. Banda,7836,43.53,3.77,46.98,32.34,17.64,17.18,-91.47,7.52,-91.75,1,-1,3.83,1.77,,False,True,True,33.927,2334,Team 1
7_286,57146,C. Roccaro,57112,N. Kuikka,8222,-23.27,-31.84,-40.68,-21.52,16.72,16.92,-35.98,-127.87,-32.72,9,1,27.23,9.46,433.0,False,False,False,57.896,2337,Team 2
7_288,57112,N. Kuikka,57146,C. Roccaro,8246,-37.76,-23.34,-25.26,-31.62,15.44,14.99,146.48,-146.55,141.36,10,-1,42.4,15.51,433.0,False,False,False,86.669,2337,Team 2
7_289,57146,C. Roccaro,22809,A. Naeher,8266,-49.3,-4.64,-40.27,-23.53,18.75,19.8,119.14,175.43,129.92,10,0,53.07,24.43,433.0,False,False,False,91.72300000000001,2337,Team 2
7_291,22809,A. Naeher,816413,H. Anderson,8300,-36.02,8.16,-47.24,-3.18,14.27,15.89,59.19,105.18,56.2,10,0,39.0,14.38,424.0,False,False,False,64.96199999999999,2337,Team 2
7_293,816413,H. Anderson,57146,C. Roccaro,8333,-37.81,-16.28,-36.86,14.31,25.35,27.24,-95.67,79.08,-97.34,10,0,41.7,18.53,424.0,False,False,False,73.95800000000001,2337,Team 2
7_297,57146,C. Roccaro,817610,J. Joseph,8414,9.39,-11.17,-24.47,-21.51,20.98,33.54,17.02,-38.61,25.49,1,9,-1.77,3.73,424.0,False,False,True,34.545,2337,Team 2
7_298,817610,J. Joseph,22810,M. Swanson,8472,24.75,-28.53,32.84,-31.81,9.95,10.63,163.27,30.22,175.73,6,-5,12.52,6.77,,True,False,False,53.313,2337,Team 2
7_309,149954,K. Strom,22542,Marta,8609,-34.25,4.67,-38.65,8.38,6.78,6.07,-37.91,27.23,-44.34,6,3,30.26,4.78,,True,False,False,47.656,2334,Team 1
7_316,62445,B. Banda,149882,K. Abello,8704,-27.62,25.17,-6.37,24.99,17.15,16.5,-174.71,48.64,-164.65,10,-4,36.78,11.91,,False,False,False,75.953,2334,Team 1
7_317,149882,K. Abello,149954,K. Strom,8734,-31.42,18.2,-26.61,29.9,13.13,12.22,-125.41,151.33,-129.25,10,0,41.19,13.64,,False,False,False,84.40500000000002,2334,Team 1
7_320,149954,K. Strom,441597,E. Madril Sams,8764,-29.43,0.8,-33.63,19.45,15.23,18.24,-81.07,-79.22,-87.18,10,0,37.12,13.85,424.0,False,False,False,67.10600000000001,2334,Team 1
7_322,441597,E. Madril Sams,149954,K. Strom,8840,-26.13,6.69,-21.38,-15.71,20.78,21.68,103.58,-81.2,105.92,10,0,35.01,14.12,343.0,False,False,False,71.985,2334,Team 1
7_325,149954,K. Strom,441597,E. Madril Sams,8886,-19.86,-10.86,-21.33,7.1,16.6,16.17,-86.74,96.46,-86.23,10,0,28.65,10.95,424.0,False,False,False,66.058,2334,Team 1
7_328,441597,E. Madril Sams,151602,A. Watt,8918,2.39,-33.19,-20.32,-7.44,27.87,33.25,-42.16,36.8,-47.89,1,9,6.39,8.4,424.0,False,False,True,42.561,2334,Team 1
7_331,151186,T. Malham,22723,J. Grosso,8984,-28.0,12.84,-41.88,19.19,6.1,7.03,-22.51,174.6,-13.85,8,1,34.95,3.68,,True,False,False,61.165000000000006,2337,Team 2
7_334,22723,J. Grosso,151149,S. Groom,9006,-11.46,26.7,-36.29,14.81,22.23,24.41,26.28,178.18,28.5,5,3,13.75,1.78,424.0,False,False,False,52.984,2337,Team 2
7_336,817541,C. Dyke,151151,H. McCutcheon,9036,29.94,-21.83,23.46,-24.41,7.36,6.97,21.71,-173.16,12.07,6,1,11.72,5.12,,False,False,False,43.238,2334,Team 1
7_337,151151,H. McCutcheon,62389,Angelina,9044,20.43,-15.65,27.94,-21.6,9.31,9.58,141.61,21.8,136.17,7,-1,19.7,4.19,,True,False,False,58.263000000000005,2334,Team 1
7_340,62389,Angelina,817541,C. Dyke,9058,20.47,-23.34,22.95,-15.44,8.41,8.28,-107.43,-153.43,-114.74,8,-1,18.07,7.22,,False,False,False,64.174,2334,Team 1
7_343,817541,C. Dyke,151151,H. McCutcheon,9071,28.84,-25.64,19.17,-24.16,12.04,11.92,-17.83,-61.56,-9.46,4,5,8.31,4.81,451.0,False,False,False,33.19,2334,Team 1
7_344,151151,H. McCutcheon,817541,C. Dyke,9090,18.46,-26.43,31.8,-31.53,12.48,12.57,159.6,-93.66,154.61,9,-3,18.54,10.4,,False,False,False,67.221,2334,Team 1
7_346,817541,C. Dyke,441597,E. Madril Sams,9115,4.81,-20.42,17.65,-29.15,12.93,14.78,148.98,-137.49,145.56,10,-1,33.08,13.15,541.0,False,False,False,81.49199999999999,2334,Team 1
7_347,441597,E. Madril Sams,149954,K. Strom,9138,0.27,-4.01,4.77,-19.6,9.92,14.75,111.97,133.16,103.7,10,0,34.26,12.4,442.0,False,False,False,74.509,2334,Team 1
7_351,149954,K. Strom,441597,E. Madril Sams,9181,-1.36,-8.38,-2.59,4.92,13.88,12.65,-89.23,118.72,-88.93,10,0,28.9,12.25,424.0,False,False,False,67.852,2334,Team 1
7_359,22723,J. Grosso,817547,B. Franklin,9269,-19.77,2.7,-20.36,14.13,6.5,8.29,-100.98,174.56,-115.82,7,0,22.06,4.73,,True,False,False,69.17,2337,Team 2
7_362,817547,B. Franklin,816413,H. Anderson,9289,-32.4,12.19,-21.52,3.17,13.86,13.46,140.55,149.79,131.64,10,-1,34.61,10.17,,False,False,False,82.127,2337,Team 2
7_365,816413,H. Anderson,151186,T. Malham,9318,-25.36,27.98,-35.16,15.11,15.13,15.79,53.19,93.72,42.03,9,1,27.11,12.57,4141.0,False,False,False,55.974,2337,Team 2
7_366,151186,T. Malham,816413,H. Anderson,9344,-36.76,20.31,-24.39,30.72,15.41,14.88,-146.74,109.96,-143.9,10,-1,38.14,14.63,4141.0,False,False,False,81.32699999999998,2337,Team 2
7_367,816413,H. Anderson,22809,A. Naeher,9377,-47.11,3.72,-37.27,21.85,16.96,18.02,-120.69,-24.19,-125.42,10,0,49.98,21.68,424.0,False,False,False,74.772,2337,Team 2
7_369,22809,A. Naeher,57146,C. Roccaro,9413,-38.39,-14.59,-44.05,1.43,14.35,17.27,-75.07,-82.74,-68.96,10,0,41.29,18.04,424.0,False,False,False,66.01899999999999,2337,Team 2
7_371,57146,C. Roccaro,57112,N. Kuikka,9473,-9.3,-32.82,-28.58,-24.41,11.72,13.41,-33.23,-25.81,-45.17,6,4,14.9,8.34,424.0,False,False,False,39.719,2337,Team 2
7_378,610122,S. Yates,151602,A. Watt,10046,-33.35,-13.51,-27.93,-25.53,2.37,6.59,51.22,-25.52,78.83,3,3,27.38,2.36,,True,False,False,43.986,2334,Team 1
7_380,151602,A. Watt,62445,B. Banda,10108,-6.64,12.71,3.57,-30.71,47.0,44.34,103.05,-8.89,114.71,7,-4,20.68,8.89,,False,False,False,55.327000000000005,2334,Team 1
7_382,62445,B. Banda,610122,S. Yates,10172,17.01,-8.88,14.88,12.87,19.58,20.99,-83.38,30.33,-98.9,8,-1,12.67,9.59,,True,False,False,50.05200000000001,2334,Team 1
7_385,610122,S. Yates,151151,H. McCutcheon,10199,10.24,-0.98,19.1,-6.8,8.72,7.99,164.02,-20.56,-163.75,10,0,23.65,7.03,4141.0,False,False,False,69.868,2334,Team 1
7_388,151151,H. McCutcheon,149882,K. Abello,10222,5.86,19.56,11.67,-1.12,20.6,20.9,103.03,51.7,106.18,10,0,28.3,19.11,424.0,False,False,False,64.599,2334,Team 1
7_390,149882,K. Abello,149954,K. Strom,10252,-0.23,10.97,6.68,22.27,14.7,13.25,-121.45,118.61,-116.02,10,0,32.12,14.35,424.0,False,False,False,75.20799999999998,2334,Team 1
7_393,149954,K. Strom,441597,E. Madril Sams,10270,-1.11,-0.29,-0.58,11.4,10.0,11.21,-97.69,-110.35,-97.24,10,0,31.22,13.97,442.0,False,False,False,68.34400000000001,2334,Team 1
7_394,441597,E. Madril Sams,151602,A. Watt,10296,24.88,-32.87,-1.15,-4.16,10.86,12.03,-65.59,-178.17,-61.88,8,2,3.8,18.14,442.0,False,False,False,53.094,2334,Team 1
7_399,151186,T. Malham,151149,S. Groom,10658,-8.04,21.53,-10.41,33.45,9.45,9.96,-66.14,64.01,-70.47,5,1,12.75,3.21,4141.0,True,False,False,44.13,2337,Team 2
7_406,151149,S. Groom,817610,J. Joseph,10723,4.84,18.11,-14.28,22.55,13.66,16.38,-17.48,159.33,-15.45,4,5,2.78,1.91,4141.0,True,False,False,43.832,2337,Team 2
7_408,817610,J. Joseph,151186,T. Malham,10740,-0.01,33.37,1.24,19.8,7.19,10.69,78.62,16.86,61.69,3,2,8.19,7.56,442.0,False,False,False,31.457,2337,Team 2
